card_name,face_name,scryfall_id,set,collector_number,image_url
Forest,,0000419b-0bba-4488-8f7a-6194544ce91e,blb,280,https://cards.scryfall.io/normal/front/0/0/0000419b-0bba-4488-8f7a-6194544ce91e.jpg?1783910776
Fury Sliver,,0000579f-7b35-4ed3-b44c-db2a538066fe,tsp,157,https://cards.scryfall.io/normal/front/0/0/0000579f-7b35-4ed3-b44c-db2a538066fe.jpg?1783943221
Kor Outfitter,,00006596-1166-4a79-8443-ca9f82e6db4e,zen,21,https://cards.scryfall.io/normal/front/0/0/00006596-1166-4a79-8443-ca9f82e6db4e.jpg?1783942171
Spirit,,0000a54c-a511-4925-92dc-01b937f9afad,tmm2,5,https://cards.scryfall.io/normal/front/0/0/0000a54c-a511-4925-92dc-01b937f9afad.jpg?1783938374
Siren Lookout,,0000cd57-91fe-411f-b798-646e965eec37,xln,78,https://cards.scryfall.io/normal/front/0/0/0000cd57-91fe-411f-b798-646e965eec37.jpg?1783935773
Web,,00012bd8-ed68-4978-a22d-f450c8a6e048,3ed,229,https://cards.scryfall.io/normal/front/0/0/00012bd8-ed68-4978-a22d-f450c8a6e048.jpg?1783948293
Wastewood Verge,,0001b4a6-10bf-4bdd-a9da-fe78d9d39a82,pdft,268p,https://cards.scryfall.io/normal/front/0/0/0001b4a6-10bf-4bdd-a9da-fe78d9d39a82.jpg?1783907586
Surge of Brilliance,,0001c639-8bd0-426f-89cb-4ca61f3cc054,who,57,https://cards.scryfall.io/normal/front/0/0/0001c639-8bd0-426f-89cb-4ca61f3cc054.jpg?1783914665
Obyra's Attendants // Desperate Parry,,0001e77a-7fff-49d2-a55c-42f6fdf6db08,woe,63,https://cards.scryfall.io/normal/front/0/0/0001e77a-7fff-49d2-a55c-42f6fdf6db08.jpg?1783915116
Venerable Knight,,0001f1ef-b957-4a55-b47f-14839cdbab6f,eld,35,https://cards.scryfall.io/normal/front/0/0/0001f1ef-b957-4a55-b47f-14839cdbab6f.jpg?1783932664
Wildcall,,00020b05-ecb9-4603-8cc1-8cfa7a14befc,ugin,146,https://cards.scryfall.io/normal/front/0/0/00020b05-ecb9-4603-8cc1-8cfa7a14befc.jpg?1783938718
Fell Beast's Shriek // Fell Beast's Shriek,Fell Beast's Shriek,000225fc-9bc3-4eb3-905e-02c19c873b0b,altc,18,https://cards.scryfall.io/normal/front/0/0/000225fc-9bc3-4eb3-905e-02c19c873b0b.jpg?1783913949
Fell Beast's Shriek // Fell Beast's Shriek,Fell Beast's Shriek,000225fc-9bc3-4eb3-905e-02c19c873b0b,altc,18,https://cards.scryfall.io/normal/back/0/0/000225fc-9bc3-4eb3-905e-02c19c873b0b.jpg?1783913949
Mystic Skyfish,,0002ab72-834b-4c81-82b1-0d2760ea96b0,m21,326,https://cards.scryfall.io/normal/front/0/0/0002ab72-834b-4c81-82b1-0d2760ea96b0.jpg?1783930623
Swamp,,00030770-5e99-4943-819d-8d807c24cc14,jmp,59,https://cards.scryfall.io/normal/front/0/0/00030770-5e99-4943-819d-8d807c24cc14.jpg?1783930489
